回数,step,種類,青時間(秒)
1178,71797.0,従道路,16.0
1180,71917.0,従道路,35.0
1182,72037.0,従道路,16.0
1184,72157.0,従道路,35.0
1186,72277.0,従道路,16.0
1188,72397.0,従道路,35.0
1190,72517.0,従道路,16.0
1192,72637.0,従道路,35.0
1194,72757.0,従道路,16.0
1196,72877.0,従道路,35.0
1198,72997.0,従道路,16.0
1200,73117.0,従道路,35.0
1202,73237.0,従道路,16.0
1204,73357.0,従道路,35.0
1206,73477.0,従道路,16.0
1208,73597.0,従道路,35.0
1210,73717.0,従道路,16.0
1212,73837.0,従道路,35.0
1214,73957.0,従道路,16.0
1216,74077.0,従道路,35.0
1218,74197.0,従道路,16.0
1220,74317.0,従道路,35.0
1222,74437.0,従道路,16.0
1224,74557.0,従道路,35.0
1226,74677.0,従道路,16.0
1228,74797.0,従道路,35.0
1230,74917.0,従道路,16.0
1232,75037.0,従道路,35.0
1234,75157.0,従道路,16.0
1236,75277.0,従道路,35.0
1238,75397.0,従道路,16.0
1240,75517.0,従道路,35.0
1242,75637.0,従道路,16.0
1244,75757.0,従道路,35.0
1246,75877.0,従道路,16.0
1248,75997.0,従道路,35.0
1250,76117.0,従道路,16.0
1252,76237.0,従道路,35.0
1254,76357.0,従道路,16.0
1256,76477.0,従道路,35.0
1258,76597.0,従道路,16.0
1260,76717.0,従道路,35.0
1262,76837.0,従道路,16.0
1264,76957.0,従道路,35.0
1266,77077.0,従道路,16.0
1268,77197.0,従道路,35.0
1270,77317.0,従道路,16.0
1272,77437.0,従道路,35.0
1274,77557.0,従道路,16.0
1276,77677.0,従道路,35.0
1278,77797.0,従道路,16.0
1280,77917.0,従道路,35.0
1282,78037.0,従道路,16.0
1284,78157.0,従道路,35.0
1286,78277.0,従道路,16.0
1288,78397.0,従道路,35.0
1290,78517.0,従道路,16.0
1292,78637.0,従道路,35.0
1294,78757.0,従道路,16.0
1296,78877.0,従道路,35.0
1298,78997.0,従道路,16.0
1300,79117.0,従道路,35.0
1302,79237.0,従道路,16.0
1304,79357.0,従道路,35.0
1306,79477.0,従道路,16.0
1308,79597.0,従道路,35.0
1310,79717.0,従道路,16.0
1312,79837.0,従道路,35.0
1314,79957.0,従道路,16.0
1316,80077.0,従道路,35.0
1318,80197.0,従道路,16.0
1320,80317.0,従道路,35.0
1322,80437.0,従道路,16.0
1324,80557.0,従道路,35.0
1326,80677.0,従道路,16.0
1328,80797.0,従道路,35.0
1330,80917.0,従道路,16.0
1332,81037.0,従道路,35.0
1334,81157.0,従道路,16.0
1336,81277.0,従道路,35.0
1338,81397.0,従道路,16.0
1340,81517.0,従道路,35.0
1342,81637.0,従道路,16.0
1344,81757.0,従道路,35.0
1346,81877.0,従道路,16.0
1348,81997.0,従道路,35.0
1350,82117.0,従道路,16.0
1352,82237.0,従道路,35.0
1354,82357.0,従道路,16.0
1356,82477.0,従道路,35.0
1358,82597.0,従道路,16.0
1360,82717.0,従道路,35.0
1362,82837.0,従道路,16.0
1364,82957.0,従道路,35.0
1366,83077.0,従道路,16.0
1368,83197.0,従道路,35.0
1370,83317.0,従道路,16.0
1372,83437.0,従道路,35.0
1374,83557.0,従道路,16.0
1376,83677.0,従道路,35.0
1378,83797.0,従道路,16.0
1380,83917.0,従道路,35.0
1382,84037.0,従道路,16.0
1384,84157.0,従道路,35.0
1386,84277.0,従道路,16.0
1388,84397.0,従道路,35.0
1390,84517.0,従道路,16.0
1392,84637.0,従道路,35.0
1394,84757.0,従道路,16.0
1396,84877.0,従道路,35.0
1398,84997.0,従道路,16.0
1400,85117.0,従道路,35.0
1402,85237.0,従道路,16.0
1404,85357.0,従道路,35.0
1406,85477.0,従道路,16.0
1408,85597.0,従道路,35.0
1410,85717.0,従道路,16.0
1412,85837.0,従道路,35.0
1414,85957.0,従道路,16.0
1416,86077.0,従道路,35.0
1418,86197.0,従道路,16.0
1420,86317.0,従道路,35.0
1422,86437.0,従道路,16.0
1424,86557.0,従道路,35.0
1426,86677.0,従道路,16.0
1428,86797.0,従道路,35.0
1430,86917.0,従道路,16.0
1432,87037.0,従道路,35.0
1434,87157.0,従道路,16.0
1436,87277.0,従道路,35.0
1438,87397.0,従道路,16.0
1440,87517.0,従道路,35.0
1442,87637.0,従道路,16.0
1444,87757.0,従道路,35.0
1446,87877.0,従道路,16.0
